# file...... capacitor_4381.csv
# date...... Tue Jan 20 13:26:05 2015
# user...... sk4ld
# host...... (null)
# target.... capacitor 12
# trigger... (none)
# interval.. 60
# limit..... 1440
# timestamp,voltage_A,voltage_B,voltage_C,voltage_AB,voltage_BC,voltage_CA
2015-01-20 13:26:05 EST,+7117.8+23.5131j,-3627.07-5860.67j,-3192.81+6223.38j,+10744.9+5884.18j,-434.255-12084j,-10310.6+6199.87j
2015-01-20 13:27:05 EST,+7133.94+19.2886j,-3598.56-5817.07j,-3104.55+6177.12j,+10732.5+5836.36j,-494.013-11994.2j,-10238.5+6157.83j
2015-01-20 13:28:05 EST,+7106.04-6.1085j,-3685.47-5887.78j,-3130.31+6153.08j,+10791.5+5881.67j,-555.163-12040.9j,-10236.3+6159.19j
