# file...... node_35.csv
# date...... Tue Jan 20 13:26:05 2015
# user...... sk4ld
# host...... (null)
# target.... node 236
# trigger... (none)
# interval.. 60
# limit..... 1440
# timestamp,voltage_A,voltage_B,voltage_C,voltage_AB,voltage_BC,voltage_CA
2015-01-20 13:26:05 EST,+7123.36+27.9923j,-3624.37-5837.77j,-3157.32+6220.88j,+10747.7+5865.76j,-467.047-12058.6j,-10280.7+6192.89j
2015-01-20 13:27:05 EST,+7142.2+23.4186j,-3593.01-5791.41j,-3057.94+6169.68j,+10735.2+5814.83j,-535.07-11961.1j,-10200.1+6146.26j
2015-01-20 13:28:05 EST,+7114.42-2.01391j,-3679.61-5862.46j,-3083.46+6145.76j,+10794+5860.45j,-596.154-12008.2j,-10197.9+6147.77j
