# file...... meter_4382.csv
# date...... Tue Jan 20 13:26:05 2015
# user...... sk4ld
# host...... (null)
# target.... meter 231
# trigger... (none)
# interval.. 60
# limit..... 1440
# timestamp,voltage_A,voltage_B,voltage_C,voltage_AB,voltage_BC,voltage_CA
2015-01-20 13:26:05 EST,+7216.88+0j,-3608.44-6250j,-3608.44+6250j,+10825.3+6250j,+0-12500j,-10825.3+6250j
2015-01-20 13:27:05 EST,+7216.88+0j,-3608.44-6250j,-3608.44+6250j,+10825.3+6250j,+0-12500j,-10825.3+6250j
2015-01-20 13:28:05 EST,+7216.88+0j,-3608.44-6250j,-3608.44+6250j,+10825.3+6250j,+0-12500j,-10825.3+6250j
