# file...... triplex_node_671.csv
# date...... Tue Jan 20 13:26:05 2015
# user...... sk4ld
# host...... (null)
# target.... triplex_node 3105
# trigger... (none)
# interval.. 60
# limit..... 1440
# timestamp,voltage_1,voltage_2,voltage_12,voltage_N,voltage_1N,voltage_2N
2015-01-20 13:26:05 EST,+117.86+0.417646j,+118.001+0.325151j,+235.861+0.742797j,+0+0j,+117.86+0.417646j,+118.001+0.325151j
2015-01-20 13:27:05 EST,+118.122+0.34318j,+118.267+0.249556j,+236.389+0.592735j,+0+0j,+118.122+0.34318j,+118.267+0.249556j
2015-01-20 13:28:05 EST,+117.657-0.077616j,+117.802-0.172129j,+235.459-0.249746j,+0+0j,+117.657-0.077616j,+117.802-0.172129j
