# file...... load_670.csv
# date...... Tue Jan 20 13:26:05 2015
# user...... sk4ld
# host...... (null)
# target.... load 190
# trigger... (none)
# interval.. 60
# limit..... 1440
# timestamp,voltage_A,voltage_B,voltage_C,voltage_AB,voltage_BC,voltage_CA
2015-01-20 13:26:05 EST,+275.626+0.468411j,-139.4-233.317j,-132.953+239.807j,+415.026+233.786j,-6.44712-473.125j,-408.579+239.339j
2015-01-20 13:27:05 EST,+275.76+0.422109j,-147.59-211.922j,-131.886+239.238j,+423.351+212.344j,-15.7044-451.159j,-407.647+238.816j
2015-01-20 13:28:05 EST,+275.431+0.118388j,-148.549-212.873j,-132.188+238.951j,+423.98+212.992j,-16.3613-451.825j,-407.619+238.833j
