# file...... node_207.csv
# date...... Tue Jan 20 13:26:05 2015
# user...... sk4ld
# host...... (null)
# target.... node 412
# trigger... (none)
# interval.. 60
# limit..... 1440
# timestamp,voltage_A,voltage_B,voltage_C,voltage_AB,voltage_BC,voltage_CA
2015-01-20 13:26:05 EST,+0+0j,+0+0j,-3245.02+6215.34j,+0+0j,+3245.02-6215.34j,-3245.02+6215.34j
2015-01-20 13:27:05 EST,+0+0j,+0+0j,-3176.44+6176.83j,+0+0j,+3176.44-6176.83j,-3176.44+6176.83j
2015-01-20 13:28:05 EST,+0+0j,+0+0j,-3195.57+6158.85j,+0+0j,+3195.57-6158.85j,-3195.57+6158.85j
