# file...... load_651.csv
# date...... Tue Jan 20 13:26:05 2015
# user...... sk4ld
# host...... (null)
# target.... load 164
# trigger... (none)
# interval.. 60
# limit..... 1440
# timestamp,voltage_A,voltage_B,voltage_C,voltage_AB,voltage_BC,voltage_CA
2015-01-20 13:26:05 EST,+0+0j,+0+0j,-121.866+239.101j,+0+0j,+121.866-239.101j,-121.866+239.101j
2015-01-20 13:27:05 EST,+0+0j,+0+0j,-112.702+236.601j,+0+0j,+112.702-236.601j,-112.702+236.601j
2015-01-20 13:28:05 EST,+0+0j,+0+0j,-113.766+235.603j,+0+0j,+113.766-235.603j,-113.766+235.603j
