# file...... triplex_meter_1867.csv
# date...... Tue Jan 20 13:26:05 2015
# user...... sk4ld
# host...... (null)
# target.... triplex_meter 2493
# trigger... (none)
# interval.. 60
# limit..... 1440
# timestamp,voltage_1,voltage_2,voltage_12,voltage_N,voltage_1N,voltage_2N,measured_voltage_1,measured_voltage_2,measured_voltage_N
2015-01-20 13:26:05 EST,+117.463+0.613028j,+118.19+0.293724j,+235.653+0.906752j,+0+0j,+117.463+0.613028j,+118.19+0.293724j,+117.465+0.299018d,+118.191+0.14239d,+0+0d
2015-01-20 13:27:05 EST,+117.717+0.54049j,+118.46+0.218404j,+236.177+0.758895j,+0+0j,+117.717+0.54049j,+118.46+0.218404j,+117.718+0.263068d,+118.46+0.105636d,+0+0d
2015-01-20 13:28:05 EST,+117.251+0.121925j,+117.995-0.204092j,+235.246-0.0821671j,+0+0j,+117.251+0.121925j,+117.995-0.204092j,+117.251+0.0595799d,+117.996-0.0991022d,+0+0d
